Date;SAS_GPL;SAS_TTF;SAS_NCG;SAS_NBP
17/02/2014;-0.08333333;-0.13283333;-0.16916667;-7.34506322
18/02/2014;-0.09183333;-0.14133333;-0.17766667;-9.84630524
19/02/2014;-0.1675;-0.217;-0.25333333;-16.79032314
20/02/2014;-0.21966667;-0.26916667;-0.3055;25.46728885
21/02/2014;-0.246;-0.2955;-0.33183333;-17.84982866
24/02/2014;-0.35933333;-0.447;-0.478;26.47852189
25/02/2014;-0.29833333;-0.386;-0.417;-21.18089887
26/02/2014;-0.37183333;-0.4595;-0.4905;-4.29617798
27/02/2014;-0.29933333;-0.387;-0.418;-4.44184754
28/02/2014;-0.053;-0.09833333;-0.11166667;-20.76905052
03/03/2014;-1.9635;-1.9825;-2.0705;-20.55245358
04/03/2014;-2.29666667;-2.31566667;-2.40366667;21.64856932
05/03/2014;-2.3375;-2.3565;-2.4445;31.96548882
06/03/2014;-2.2565;-2.2755;-2.3635;-17.27983657
07/03/2014;-2.26266667;-2.28166667;-2.36966667;23.51123394
10/03/2014;-2.2005;-2.3235;-2.3365;32.35473782
11/03/2014;-2.18866667;-2.31166667;-2.32466667;21.99559695
12/03/2014;-2.21716667;-2.34016667;-2.35316667;7.39736203
13/03/2014;-2.16;-2.283;-2.296;7.99804285
14/03/2014;-2.18516667;-2.30816667;-2.32116667;-7.1489958
17/03/2014;-2.28616667;-2.32416667;-2.46716667;-9.77155565
18/03/2014;-2.33133333;-2.36933333;-2.51233333;40.70062662
19/03/2014;-2.40233333;-2.44033333;-2.58333333;-20.20458326
20/03/2014;-2.612;-2.65;-2.793;-13.05175619
21/03/2014;-2.77216667;-2.81016667;-2.95316667;41.19862538
24/03/2014;-3.19933333;-2.96333333;-3.00133333;-13.92743634
25/03/2014;-3.1985;-2.9625;-3.0005;-13.3833706
26/03/2014;-3.08;-2.844;-2.882;-14.40923932
27/03/2014;-3.26716667;-3.03116667;-3.06916667;-12.03654985
28/03/2014;-3.15533333;-2.94233333;-2.93633333;-16.53503979
31/03/2014;-3.39616667;-3.24516667;-3.32816667;-9.16076927
01/04/2014;-3.41116667;-3.26016667;-3.34316667;-17.22079391
02/04/2014;-3.67066667;-3.51966667;-3.60266667;-0.59034629
03/04/2014;-3.84683333;-3.69583333;-3.77883333;-2.72514127
04/04/2014;-3.91083333;-3.75983333;-3.84283333;-4.37695796
07/04/2014;-3.91866667;-3.83666667;-3.77766667;-13.53239319
08/04/2014;-3.8355;-3.7535;-3.6945;-13.95200435
09/04/2014;-3.71283333;-3.63083333;-3.57183333;-8.74787463
10/04/2014;-3.73866667;-3.65666667;-3.59766667;41.10164978
11/04/2014;-3.766;-3.684;-3.625;1.42767825
14/04/2014;-3.9955;-3.9005;-3.9415;-4.60399324
15/04/2014;-3.9555;-3.8605;-3.9015;-3.68201913
16/04/2014;-4.21316667;-4.11816667;-4.15916667;7.64884565
17/04/2014;-4.3625;-4.2675;-4.3085;7.49613249
21/04/2014;-4.3625;-4.2675;-4.3085;-4.675541
22/04/2014;-4.35383333;-4.45383333;-4.56083333;4.60259098
23/04/2014;-4.63983333;-4.73983333;-4.84683333;7.45641676
24/04/2014;-5.3795;-5.4795;-5.5865;-12.80704783
25/04/2014;-5.54666667;-5.64666667;-5.75366667;-11.04085222
28/04/2014;-5.58166667;-5.49366667;-5.59366667;-1.44470077
29/04/2014;-5.14866667;-4.99866667;-5.21066667;15.42329873
30/04/2014;-5.10833333;-5.16733333;-5.02933333;15.11992761
01/05/2014;-5.20683333;-5.26583333;-5.12783333;42.90462622
02/05/2014;-5.20083333;-5.25983333;-5.12183333;16.06153343
05/05/2014;-5.15583333;-5.21483333;-5.07683333;0.06296595
06/05/2014;-4.37016667;-5.23516667;-4.51216667;0.08842568
07/05/2014;-4.781;-5.037;-4.923;26.96412589
08/05/2014;-4.63583333;-4.89183333;-4.77783333;0.04898012
09/05/2014;-4.59716667;-4.85316667;-4.73916667;1.88737915
12/05/2014;-5.03783333;-4.92583333;-4.83783333;-8.20178555
13/05/2014;-5.15983333;-5.04783333;-4.95983333;-15.94289501
14/05/2014;-5.21316667;-5.10116667;-5.01316667;-12.1779426
15/05/2014;-5.16;-5.048;-4.96;-7.68872843
16/05/2014;-5.38116667;-5.26916667;-5.18116667;-2.73879856
19/05/2014;-5.24866667;-5.19866667;-5.17366667;-9.25539446
20/05/2014;-5.25683333;-5.20683333;-5.18183333;-5.84238612
21/05/2014;-5.27833333;-5.22833333;-5.20333333;-8.7256747
22/05/2014;-5.2425;-5.1925;-5.1675;-5.06800173
