Date (CET);LDZ;Actual;Normal
13/05/2015;303.8285342;10.63446553;13.12330314
14/05/2015;225.4595588;12.38801199;13.26551576
15/05/2015;191.2621766;16.26923077;13.40662036
16/05/2015;193.2747528;16.94955045;13.54657513
17/05/2015;203.5754096;16.98711289;13.68533861
18/05/2015;207.0019966;13.15834166;13.82286966
19/05/2015;237.591432;13.82117882;13.95912755
20/05/2015;243.8073808;13.15294705;14.09407188
21/05/2015;245.408208;12.61978022;14.22766268
22/05/2015;319.618949;9.2999001;14.35986037
23/05/2015;348.4231744;8.131068931;14.49062575
24/05/2015;369.6844484;8.440959041;14.6199201
25/05/2015;357.011536;8.764135864;14.74770509
26/05/2015;347.5487456;9.739460539;14.87394286
27/05/2015;256.3780346;11.97572428;14.998596
28/05/2015;230.7135888;13.74915085;15.12162758
29/05/2015;270.1687886;11.93156843;15.24300114
30/05/2015;244.7419548;13.65234765;15.36268071
31/05/2015;222.1884426;14.91778222;15.48063083
01/06/2015;210.1210078;13.86773227;15.59681655
02/06/2015;248.1141012;11.84495504;15.71120343
03/06/2015;267.6942358;11.81508492;15.82375759
04/06/2015;213.332575;13.64585415;15.93444568
05/06/2015;188.8361538;15.79190809;16.04323488
06/06/2015;169.3122606;17.45964036;16.15009298
07/06/2015;154.075217;18.45454545;16.25498829
08/06/2015;149.5534774;18.05344655;16.35788974
09/06/2015;145.9154146;16.35694306;16.45876684
10/06/2015;171.1945012;15.12757243;16.5575897
11/06/2015;168.9992614;15.91118881;16.65432903
12/06/2015;161.6300064;18.67002997;16.74895616
13/06/2015;133.033146;19.86593407;16.84144306
14/06/2015;173.1929964;15.19160839;16.93176232
15/06/2015;160.3647864;17.32297702;17.01988718
16/06/2015;142.5901516;17.50529471;17.10579152
17/06/2015;129.5840846;20.84945055;17.18944988
18/06/2015;117.0363486;23.66763237;17.27083749
19/06/2015;116.0053236;26.18381618;17.34993021
20/06/2015;114.867868;23.5984016;17.42670462
21/06/2015;126.3896116;19.37632368;17.50113797
22/06/2015;129.0455476;18.89440559;17.57320819
23/06/2015;128.78417;17.3006993;17.64289394
24/06/2015;173.202712;15.31948052;17.71017455
25/06/2015;226.4082582;12.92377622;17.77503011
26/06/2015;230.8676018;12.51968032;17.83744138
27/06/2015;241.8176908;12.83646354;17.89738988
28/06/2015;214.8334216;13.74485514;17.95485783
29/06/2015;193.9789124;14.24245754;18.00982822
30/06/2015;206.9103752;13.75404595;18.06228475
01/07/2015;166.874283;17.8027972;18.11221188
02/07/2015;138.0638906;18.62997003;18.15959481
03/07/2015;116.815285;19.56623377;18.2044195
04/07/2015;116.0872072;19.08101898;18.24667268
05/07/2015;124.1109624;19.48351648;18.28634181
06/07/2015;131.659192;19.0983017;18.32341515
07/07/2015;128.3541618;20.11018981;18.35788172
08/07/2015;124.9916454;20.67432567;18.38973128
09/07/2015;122.0407308;20.92907093;18.41895442
10/07/2015;125.2852232;18.74205794;18.44554246
11/07/2015;140.9528832;16.81908092;18.46948754
12/07/2015;155.0175616;16.76233766;18.49078255
13/07/2015;146.1885244;17.99100899;18.50942118
14/07/2015;136.6303178;17.32397602;18.52539792
15/07/2015;136.482692;18.36263736;18.53870803
16/07/2015;141.300425;20.10689311;18.54934756
17/07/2015;127.9810752;21.27142857;18.55731336
18/07/2015;112.8039046;22.31258741;18.56260307
19/07/2015;115.1564428;21.57042957;18.56521512
20/07/2015;117.2321744;21.07452547;18.56514875
21/07/2015;120.0798558;22.97932068;18.56240396
22/07/2015;118.8350796;24.57032967;18.55698157
23/07/2015;112.6358872;23.6976024;18.5488832
24/07/2015;112.9678516;22.31328671;18.53811123
25/07/2015;112.2759136;23.15894106;18.52466886
26/07/2015;113.2029622;24.74495504;18.50856008
27/07/2015;117.3331144;26.29400599;18.48978965
28/07/2015;116.5075348;24.95754246;18.46836314
29/07/2015;114.0704204;20.40619381;18.4442869
30/07/2015;121.6716558;19.38271728;18.41756807
31/07/2015;116.220395;20.63676324;18.38821455
01/08/2015;126.0050082;23.43146853;18.35623505
02/08/2015;119.6285522;27.35424575;18.32163905
03/08/2015;119.069581;24.75824176;18.28443679
04/08/2015;119.3598904;21.66793207;18.24463931
05/08/2015;122.5717454;23.13206793;18.20225838
06/08/2015;115.8294324;23.12677323;18.15730658
07/08/2015;120.1379028;20.50719281;18.10979721
08/08/2015;116.4450076;19.44295704;18.05974437
09/08/2015;131.4879776;17.58071928;18.00716288
10/08/2015;138.1686784;18.11068931;17.95206832
11/08/2015;139.1885692;17.2961039;17.89447701
12/08/2015;144.73439;17.46313686;17.83440603
13/08/2015;152.3196136;15.77752248;17.77187318
14/08/2015;180.4757392;15.21558442;17.70689698
15/08/2015;176.9951026;17.31378621;17.63949668
16/08/2015;148.6886842;20.90689311;17.56969227
17/08/2015;132.3021398;20.85714286;17.49750441
18/08/2015;124.3418966;20.12917083;17.42295452
19/08/2015;116.8629678;17.31538462;17.34606467
20/08/2015;155.3661012;15.83276723;17.26685764
21/08/2015;164.9785796;16.73606394;17.18535692
22/08/2015;153.2823272;18.19400599;17.10158665
23/08/2015;133.4874798;18.85164835;17.01557166
24/08/2015;153.1171238;18.24105894;16.92733742
25/08/2015;150.537945;17.61378621;16.83691009
26/08/2015;148.7656038;17.1045954;16.74431647
27/08/2015;147.526286;16.96413586;16.64958399
28/08/2015;145.0176398;17.37382617;16.55274072
29/08/2015;173.1626552;17.28531469;16.45381535
30/08/2015;162.4372136;18.10709291;16.35283721
31/08/2015;138.0494078;17.33606394;16.24983622
01/09/2015;173.2476018;14.58391608;16.14484289
02/09/2015;172.4529976;15.66413586;16.03788834
03/09/2015;125.2615714;17.76823177;15.92900426
04/09/2015;129.4589916;18.5035964;15.81822291
05/09/2015;131.4670626;20.01428571;15.70557713
06/09/2015;130.9033958;20.84245754;15.59110028
07/09/2015;124.4488962;19.47722278;15.4748263
08/09/2015;132.2553502;17.28431568;15.35678964
09/09/2015;178.0676942;13.84485514;15.23702528
10/09/2015;230.1306192;12.18291708;15.1155687
11/09/2015;258.9684472;11.83296703;14.99245589
12/09/2015;235.1422872;12.85004995;14.86772333
13/09/2015;198.8118556;14.45254745;14.74140799
14/09/2015;177.9562158;15.31768232;14.6135473
15/09/2015;169.2528134;14.57642358;14.48417914
16/09/2015;232.8804736;12.44975025;14.35334185
