,Date,Demand,Demand_real,Supply,Supply_real,Decision,Decision_real
356,2016-10-06,117.89562475427101,114.51524979999999,0.0,0.0,BUY,BUY
357,2016-06-13,168.746445675997,156.6301916,24.37675706769021,14.0,BUY,BUY
358,2016-06-14,162.27331342789412,176.8316028,24.37675706769021,14.0,BUY,BUY
359,2016-06-15,168.3839882140271,161.50789840000002,0.0,0.0,BUY,BUY
360,2016-06-16,151.27706969359568,161.438985,0.0,0.0,BUY,BUY
361,2016-06-17,149.6404489451183,159.95252019999998,0.0,0.0,BUY,BUY
362,2016-06-20,182.15401854627066,182.5532882,0.0,0.0,BUY,BUY
363,2016-06-21,169.1849544620812,177.87352980000003,15.095514765078237,14.0,BUY,BUY
364,2016-06-22,168.3925341694551,169.2400708,24.37675706769021,14.0,BUY,BUY
365,2016-06-23,171.70518118353968,158.1945562,0.0,0.0,BUY,BUY
366,2016-06-24,195.77533754483898,182.5346358,15.068996929927916,14.0,BUY,BUY
367,2016-06-27,139.48273290544589,128.35451840000002,0.0,0.0,BUY,BUY
368,2016-06-28,167.56294484454304,142.58253259999998,15.062367471140337,14.0,BUY,BUY
369,2016-06-29,178.55525975331952,171.8839878,0.0,0.0,BUY,BUY
370,2016-06-30,172.53696366752953,177.134912,0.0,0.0,BUY,BUY
371,2016-01-07,165.91051927779694,156.4139898,348.3464952673595,253.56,SELL,SELL
372,2016-04-07,115.70098389755056,117.08620379999999,0.0,0.0,BUY,BUY
373,2016-05-07,108.87316321860467,119.23152520000001,24.375377095086364,14.0,BUY,BUY
374,2016-06-07,122.82623959914594,122.17379879999999,39.60132336536681,25.4,BUY,BUY
375,2016-07-07,145.82313087848166,154.54270659999997,0.0,0.0,BUY,BUY
376,2016-08-07,142.66781957860235,198.8191006,0.0,50.0,BUY,BUY
377,2016-11-07,142.52924047466558,126.79138999999999,509.0209845200246,571.4000000000001,SELL,SELL
378,2016-12-07,145.33669108889305,130.4715968,421.36123512018946,449.15,SELL,SELL
379,2016-07-13,129.18095809100382,126.29694860000001,24.37675706769021,14.0,BUY,BUY
380,2016-07-14,123.3544078952842,123.45528759999999,0.0,0.0,BUY,BUY
381,2016-07-15,118.23625568220277,124.22045759999999,0.0,0.0,BUY,BUY
382,2016-07-18,104.30168667872864,114.6389274,0.0,0.0,BUY,BUY
383,2016-07-19,105.81014268338755,111.3046818,15.062367471140337,14.0,BUY,BUY
384,2016-07-20,114.53200447329647,110.3005404,0.0,0.0,BUY,BUY
385,2016-07-21,113.11637109406053,114.03688899999999,0.0,0.0,BUY,BUY
386,2016-07-22,112.94254550868665,113.570453,15.095514765078237,14.0,BUY,BUY
387,2016-07-25,118.71276394416441,122.06090320000001,15.096894737682081,14.0,BUY,BUY
388,2016-07-26,114.13459717175321,114.6614196,24.378137040294053,14.0,BUY,BUY
389,2016-07-27,113.17250288093541,117.3509176,24.378137040294053,14.0,BUY,BUY
390,2016-07-28,115.69834559944107,119.04550619999999,0.0,0.0,BUY,BUY
391,2016-07-29,123.97801311497724,115.366445,0.0,0.0,BUY,BUY
392,2016-01-08,112.45149855796083,120.27172220000001,295.03225299448326,231.63,SELL,SELL
393,2016-02-08,115.018464531043,116.84165520000002,367.70399722204274,374.33,SELL,SELL
394,2016-03-08,124.01197376793439,118.3767788,393.4213592496986,431.62,SELL,SELL
395,2016-04-08,131.2202967001892,125.61554,0.0,0.0,BUY,BUY
396,2016-05-08,128.80210505093916,135.93011140000002,24.375377095086364,14.0,BUY,BUY
397,2016-08-08,119.74442221485008,115.53068020000002,101.0652553910587,64.0,BUY,BUY
398,2016-09-08,117.43014986739308,120.8776088,0.0,0.0,BUY,BUY
399,2016-10-08,137.453447375767,124.7721868,46.217247530292916,43.43,BUY,BUY
400,2016-11-08,150.7559310044542,146.37088899999998,453.24773999150807,531.35,SELL,SELL
401,2016-12-08,148.77909988742863,158.09471499999998,420.8490915589663,340.33000000000004,SELL,SELL
402,2016-08-15,179.05341541812732,183.9968122,0.0,0.0,BUY,BUY
403,2016-08-16,162.10590512736042,169.923477,0.0,0.0,BUY,BUY
404,2016-08-17,166.44313646121392,169.6850958,0.0,0.0,BUY,BUY
405,2016-08-18,191.20757824205458,192.9803314,0.0,0.0,BUY,BUY
406,2016-08-19,205.99978153844444,208.77927780000002,0.0,0.0,BUY,BUY
407,2016-08-22,189.7725619387519,202.5392422,0.0,0.0,BUY,BUY
408,2016-08-23,215.04853625510071,228.32212379999999,0.0,0.0,BUY,BUY
409,2016-08-24,206.53481507251934,220.12118519999999,0.0,0.0,BUY,BUY
410,2016-08-25,191.58144207054738,184.76783500000002,14.940957833447772,14.0,BUY,BUY
411,2016-08-26,176.27935015683983,176.4291944,24.22358010866359,14.0,BUY,BUY
412,2016-08-29,148.28625474027695,134.3999366,0.0,0.0,BUY,BUY
413,2016-08-30,177.4253941950327,171.0877942,0.0,0.0,BUY,BUY
414,2016-08-31,184.10645707951676,190.08472319999998,14.169230487334515,29.99,BUY,BUY
415,2016-01-09,167.79194089686953,162.6895608,284.41153708129264,352.22,SELL,SELL
416,2016-02-09,162.72938544631046,158.86550780000002,388.59956982744245,442.71,SELL,SELL
417,2016-05-09,127.08936618929393,132.9633026,24.375377095086364,14.0,BUY,BUY
418,2016-06-09,131.95679784688292,136.14772299999998,0.0,0.0,BUY,BUY
419,2016-07-09,141.2063454527018,131.32986200000002,15.082255847503077,14.0,BUY,BUY
420,2016-08-09,164.4036202516059,144.19673559999998,85.99677182818652,50.0,BUY,BUY
421,2016-09-09,181.28398071417024,175.83236580000002,0.0,0.0,BUY,BUY
422,2016-12-09,161.23705607465416,161.2786304,350.6591310686359,338.22,SELL,SELL
423,2016-09-13,152.77786214671158,145.09812040000003,0.0,0.0,BUY,BUY
424,2016-09-14,140.95823334682086,144.4187452,14.747761668909694,14.0,BUY,BUY
425,2016-09-16,142.091893775871,155.1552054,14.707984916184214,14.0,BUY,BUY
426,2016-09-19,147.31093860670367,134.9501726,22.573536758975308,17.0,BUY,BUY
427,2016-09-20,169.56345847950377,155.45056680000002,31.856308974161962,17.0,BUY,BUY
428,2016-09-21,239.5517971600699,265.8835792,31.85660885410365,17.0,BUY,BUY
429,2016-09-22,265.7099968780701,295.24659760000003,24.030383944125507,14.0,BUY,BUY
430,2016-09-23,239.37132675645373,280.23080439999995,0.0,0.0,BUY,BUY
431,2016-09-26,193.4291360969341,187.26092240000003,0.0,0.0,BUY,BUY
432,2016-09-27,189.1252556330324,206.072242,0.0,0.0,BUY,BUY
433,2016-09-28,154.87227119641724,172.69230380000002,0.0,0.0,BUY,BUY
434,2016-09-29,156.1997390439584,127.242953,0.0,0.0,BUY,BUY
435,2016-09-30,170.37874695276554,157.00110719999998,0.0,0.0,BUY,BUY
436,2016-03-10,201.13428342906226,236.582304,378.909687520989,363.6,SELL,SELL
437,2016-04-10,223.24488406449709,250.43443140000002,53.804333403785634,53.0,BUY,BUY
438,2016-05-10,208.03520022103106,242.3102692,24.375377095086364,14.0,BUY,BUY
439,2016-06-10,202.09651429985914,211.785189,15.082255847503077,14.0,BUY,BUY
440,2016-07-10,188.5136241815786,181.3162058,31.282177837220644,24.0,BUY,BUY
441,2016-10-10,188.10236225516303,178.10720680000003,101.2302956891444,154.96,BUY,BUY
442,2016-11-10,204.64787202494847,200.65324919999998,476.92923354641596,467.65,SELL,SELL
443,2016-12-10,179.10240471767736,177.9265266,349.7580203227943,484.24,SELL,SELL
444,2016-10-13,185.280283378602,175.0406572,0.0,0.0,BUY,BUY
445,2016-10-14,196.2069573031982,187.170302,14.472307956604283,14.0,BUY,BUY
446,2016-10-17,198.46724480833817,225.9203424,59.3366076722394,56.05,BUY,BUY
447,2016-10-18,154.49805138858315,183.2764936,61.034451881953416,56.36,BUY,BUY
448,2016-10-19,181.1728645500723,156.789678,79.97666910440496,86.60000000000001,BUY,BUY
449,2016-10-20,235.73423781300872,236.9497394,69.84964575114448,103.54,BUY,BUY
450,2016-10-21,312.2073305250761,350.7604222,168.23129179175044,118.57,BUY,BUY
451,2016-10-24,315.1518113076263,331.9699798,217.48668347528024,241.31,BUY,BUY
452,2016-10-25,251.60080460357065,265.319375,251.8686633029442,122.21000000000001,SELL,BUY
453,2016-10-26,276.9394328757493,310.5067092,137.6838162455855,88.6,BUY,BUY
454,2016-10-27,362.11144748362153,386.1234694,116.63144717294043,102.7,BUY,BUY
455,2016-10-28,357.47698679422933,351.5427898,144.59698050062212,128.95000000000002,BUY,BUY
456,2016-10-31,220.1023678246035,249.34609500000002,85.08846578517098,129.28,BUY,BUY
457,2016-01-11,232.45701404468863,267.0299758,356.62035148878977,344.11,SELL,SELL
458,2016-02-11,213.60516090982583,236.5713594,292.215601811169,271.88,SELL,SELL
459,2016-03-11,252.3947207845409,272.0998062,356.1882858310875,349.05999999999995,SELL,SELL
460,2016-04-11,310.19629156641065,324.2053332,24.37261714987868,14.0,BUY,BUY
461,2016-07-11,317.03078424443356,337.4453458,24.37675706769021,14.0,BUY,BUY
462,2016-08-11,360.19114725743594,376.8500852,0.0,0.0,BUY,BUY
463,2016-09-11,333.8431951129945,348.2795292,0.0,0.0,BUY,BUY
464,2016-10-11,340.78031764296156,375.3567134,52.65719003231985,26.18,BUY,BUY
465,2016-11-11,301.8529623424199,334.13942460000004,448.79060712379567,454.25,SELL,SELL
466,2016-11-14,299.1723609298464,333.823863,446.6099291680816,321.29999999999995,SELL,BUY
