,Date,Demand,Demand_real,Supply,Supply_real,Decision,Decision_real
486,2016-12-13,457.4568518088892,416.1339974,479.6564643093708,543.3100000000001,1,1
487,2016-12-14,437.63736437678887,407.15194219999995,505.1799614092681,569.09,1,1
488,2016-12-15,435.2967954045741,426.518493,515.9348486999492,501.85,1,1
490,2016-12-19,422.5157392272444,426.7940662,593.6006281690736,576.01,1,1
491,2016-12-20,413.728652448382,433.48773939999995,505.9941901231757,541.19,1,1
492,2016-12-21,306.9669942819154,350.4443412,501.7853169854844,490.62,1,1
507,2017-12-01,315.8464576728465,333.26939239999996,485.9405949215713,537.39,1,1
509,2017-01-16,503.35058240386223,488.11376619999993,633.277767089337,657.8,1,1
510,2017-01-17,555.5817848088366,551.2227056,582.4545618153483,708.4100000000001,1,1
511,2017-01-18,580.5425920511132,545.7814204,619.6160356628777,666.36,1,1
512,2017-01-19,572.7076316862882,525.6813952,595.5278003472773,573.56,1,1
514,2017-01-23,589.8242168335329,562.3132462,635.881377806747,738.6,1,1
515,2017-01-24,554.452952944022,541.7469306,638.2581210014017,716.38,1,1
516,2017-01-25,516.9874511060218,516.5141962,627.6264946952922,712.28,1,1
517,2017-01-26,495.99205305795226,485.60939019999995,623.2397831490698,495.41999999999996,1,1
521,2017-01-02,559.9645071323437,542.8387730000001,589.624159245345,655.66,1,1
529,2017-02-13,527.930801962463,508.40225580000003,540.774918053409,554.0699999999999,1,1
541,2017-01-03,430.00352857059784,410.09182200000004,577.3981667592623,715.0,1,1
571,2017-12-04,290.84574963270154,273.4750978,580.5374603376894,458.2899999999999,1,1
583,2017-01-05,297.2363698312197,296.6896616,597.9310476590538,563.11,1,1
584,2017-02-05,209.01813724787309,210.79021559999998,513.7943355291876,612.0,1,1
585,2017-03-05,152.75788578456883,141.04385459999997,334.4847444057041,383.33,1,1
591,2017-11-05,143.45299680208407,153.0045648,154.14878345016342,209.96,1,1
592,2017-12-05,195.9684120486662,175.77722980000001,452.9215652842585,451.28,1,1
606,2017-01-06,144.12523219134505,166.2422622,515.6456656861035,495.31000000000006,1,1
607,2017-02-06,139.70588899415037,127.4377848,553.5641458058456,617.98,1,1
613,2017-12-06,121.51833060203522,113.93086940000002,449.8728400575664,496.9599999999999,1,1
628,2017-03-07,102.08928490617859,106.2814414,328.8769836739657,227.40999999999997,1,1
634,2017-11-07,135.60690015110512,122.9790672,407.8848662183236,469.54999999999995,1,1
635,2017-12-07,146.97882163980205,115.776426,477.1884026938081,545.3100000000001,1,1
649,2017-01-08,121.71208719191438,127.2972348,527.6086916846095,562.89,1,1
650,2017-02-08,107.99138753545438,117.6278844,576.9099784696261,641.59,1,1
651,2017-03-08,110.13570771773509,109.1864744,262.7333990866079,224.95,1,1
657,2017-11-08,111.8330961803258,105.15423600000001,444.4634975792581,377.59000000000003,1,1
672,2017-01-09,173.68479785439382,161.45084939999998,511.70707510675567,511.21000000000004,1,1
678,2017-11-09,155.32266603872714,176.8272576,376.86133513632404,260.52,1,1
679,2017-12-09,138.86740063096178,125.3357696,514.0404686075794,554.43,1,1
680,2017-09-13,156.47502410287953,137.5877872,165.4845020769003,268.14,1,1
681,2017-09-14,182.99457206661805,180.17454419999999,227.87436501908235,187.81,1,1
682,2017-09-15,154.15451147474465,150.4826254,183.42837763647907,184.74,1,1
683,2017-09-18,194.56693705346902,214.63502119999998,288.01160357213155,231.28000000000003,1,1
684,2017-09-19,219.74981686741688,224.36806260000003,228.24408626897392,251.51,1,1
693,2017-02-10,215.5981298464293,235.68154819999998,444.0759254617135,436.47999999999996,1,1
701,2017-12-10,438.09855849353863,398.05096480000003,519.3296722960564,564.4100000000001,1,1
715,2017-01-11,389.6295881741708,389.56155079999996,503.7761959129784,554.86,1,1
721,2017-09-11,190.98271422508924,178.249973,244.3128162683019,253.35,1,1
724,2017-11-14,254.34958240742955,261.13028019999996,344.8784663084915,286.89,1,1
725,2017-11-15,248.66125525924033,270.26027819999996,310.5115136170138,275.46000000000004,1,1
726,2017-11-16,233.4721555143516,235.32133880000004,303.4849034143911,322.17,1,1
727,2017-11-17,224.791105057352,204.0267534,312.3299832850861,270.79,1,1
734,2017-11-28,372.1603791443833,401.1645508,442.4453468502411,486.71999999999997,1,1
735,2017-11-29,362.090292647924,329.0106552,446.25614749757153,519.31,1,1
736,2017-11-30,359.0997678048231,324.4900092,485.0531452766757,525.1099999999999,1,1
737,2017-01-12,302.98042480900915,300.2460632,515.4332402484828,420.71999999999997,1,1
743,2017-11-12,398.1681220165581,395.7961474,433.38299415773344,502.46,1,1
744,2017-12-12,418.28742241029465,415.8933768,518.3078841616334,546.88,1,1
745,2017-12-13,497.9700575623424,453.18114919999994,511.94517748351797,549.2700000000001,1,1
746,2017-12-14,415.7242176572503,400.99307739999995,477.4901767783026,459.24,1,1
747,2017-12-15,363.54795167718885,357.2084826,444.5648183998628,459.16999999999996,1,1
748,2017-12-18,295.3549804127754,348.6726256,562.40996975325,604.99,1,1
749,2017-12-19,309.69123933303786,362.26903219999997,552.4202355292737,607.1300000000001,1,1
750,2017-12-20,298.46217400238,327.0465934,539.6060276719397,448.85,1,1
751,2017-12-21,255.9432318061825,281.69436160000004,357.37196563014044,325.63,1,1
753,2017-12-26,306.2478468768714,373.60674500000005,430.3364949282069,405.95000000000005,1,1
754,2017-12-27,405.1282956430287,437.5770306,409.5050626009139,474.04,1,1
773,2018-01-24,336.21944950209536,367.9299242,448.7408404699848,466.95,1,1
776,2018-01-29,373.7285303260367,389.480994,414.48177693515197,424.57,1,1
778,2018-01-31,300.80254516203433,287.54430160000004,485.18490218110134,540.61,1,1
780,2018-02-02,440.5069487485984,434.9550334,499.4257079185986,576.72,1,1
787,2018-02-13,486.84875913319416,445.708841,610.2593955496396,601.81,1,1
788,2018-02-14,513.4932467901629,474.4945968,549.4803397338817,571.02,1,1
791,2018-02-19,455.07663429686374,483.1741842,478.00904414336463,705.9799999999999,1,1
792,2018-02-20,295.2461602999229,308.20803860000007,622.1119693871011,728.1,1,1
793,2018-02-21,339.78398686057017,304.22342139999995,631.734499729752,735.0,1,1
794,2018-02-22,454.35940624510226,441.93643260000005,634.0629057175553,675.01,1,1
795,2018-02-23,510.4558509544429,481.81048319999996,595.5555120757941,720.6999999999999,1,1
796,2018-02-26,534.0222449279798,527.5308610000001,627.725076308945,737.36,1,1
797,2018-02-27,526.4395319380143,509.4845994,625.2089158522734,733.34,1,1
798,2018-02-28,548.6530580073204,512.5466876,620.8216817209952,723.74,1,1
800,2018-02-03,449.2194372261471,449.0639274,535.0712988286117,704.45,1,1
811,2018-03-19,419.2002035470881,450.787208,490.3728767322018,562.79,1,1
812,2018-03-20,413.2462249271856,421.29832139999996,481.1442711570978,530.1,1,1
813,2018-03-21,398.2393657060204,398.81800960000004,461.3557487675787,498.4599999999999,1,1
820,2018-02-04,283.00945563551886,315.91221,622.1224664398734,738.9300000000001,1,1
821,2018-03-04,196.1617478405409,221.0919268,590.7173795231797,628.34,1,1
828,2018-12-04,259.1325548020245,244.34673999999998,436.8317754706659,298.3,1,1
841,2018-01-05,266.25058810457256,269.2401408,274.89547249722216,284.15,1,1
